stat,r_self,r_within,r_next_margin,n_pairs,r_vs_ref,block_games,seasons
largest_run_for,0.07937142313537508,-0.23278359759448794,0.1749339169567509,210,0.5961274672023479,10,2024-25
net_rtg_clutch,0.1200915033687873,-0.11423061637509996,0.040729049502952676,70,0.25469175963986335,10,2024-25
rim_rate,0.532733391666534,-0.004700952415249163,0.032660474664162,210,0.030971514834878897,10,2024-25
three_rate,0.7226550871907715,0.1903849621013003,0.01587909065553083,210,0.07046028583720954,10,2024-25
fta_rate,0.197305673672696,-0.040350467554885104,0.014175812875699563,210,0.06613520318452189,10,2024-25
mid_rate,0.6205845139853456,0.16902197510134717,0.010212729813405904,210,-0.07732687453852802,10,2024-25
pace48,0.5810806850416919,-0.06533370980942996,-0.005276434440261826,210,0.006460936171975115,10,2024-25
lead_changes,0.007774495799076299,-0.09609831230772982,-0.024493297058848798,210,-0.014939180849732548,10,2024-25
opp_fg3_pct,0.01906659111331817,-0.11581317901651646,-0.03442794472515029,210,-0.3663531817232517,10,2024-25
oreb_per100,0.5631265869106991,0.022974470656986844,-0.08470543194368695,210,-0.015336007495541072,10,2024-25
largest_run_against,0.2070607552156129,-0.04874516024677342,-0.2055418757495723,210,-0.46972175596998167,10,2024-25
lineups_per100,0.6389086075812532,-0.003719169205311142,-0.23150981666961826,210,-0.3027303359561114,10,2024-25
def_rtg,0.3600441726384393,-0.0004286349787715375,-0.3566651837105556,210,-0.7268910803625451,10,2024-25
def_rtg_nogarbage,0.3433289600544594,-0.031087447639691332,-0.3576607760776958,210,-0.7369502121871142,10,2024-25
tov_rate,0.4769305344002481,0.027426023272896605,-0.3639524416897219,210,-0.4412604005138524,10,2024-25
net_rtg_nogarbage,0.6500849124575816,-0.22333010718965696,0.6552350277083968,90,0.9922785973916289,20,2024-25
net_rtg_nonclutch,0.6320336517444559,-0.21999471729944445,0.6530849213463854,90,0.9842307170794558,20,2024-25
margin_pg,0.6420428708999096,-0.18885760361613596,0.6420428708999096,90,0.9990098057708627,20,2024-25
net_rtg,0.63524953359384,-0.20569712849547098,0.639392826462291,90,,20,2024-25
net_rtg_luckadj_nogarbage,0.6320553799883406,-0.2660890511689424,0.6022858029607716,90,0.8766440590372606,20,2024-25
time_leading_share,0.5610051901671361,-0.2406291117530333,0.579048305270812,90,0.8912619565288952,20,2024-25
net_rtg_1h,0.579305250997447,-0.19353550375819575,0.5737346667757776,90,0.871255190593963,20,2024-25
